687.88    -21.19  
326.43    -42.67  
0    0  
-372.72    141.29  
-565.94    130.54  
67.82   -260.80   
-31.44   -233.29   
280.67   -423.40   
41.92   -160.39   
-164.88   -621.34   
-603.28   -340.09   
174.85   -672.16   
-639.53    -1182.34   
-473.71    -664.85   
-1591.94    625.39  
-3099.41   1501.18  
-5199.90   3066.16   
-7039.03   5359.52  
-8103.13   8267.57   
-11245.60   9430.02   
2814.55   1008.62   
4576.00   2043.81  
7780.69     3070.58  
10200.00   3535.84   
12073.46   4804.91   
633.92  -2967.61   
-367.30  -4525.73   
333.03   -6774.02   
947.68   -9496.90   
-369.04   -14153.59
